,Link,Body,Article
644,www.twitter.com/anyuser/status/1598177168575676416,"@LauraLitvan @HC_Richardson For those left on Twitter 
Twitter's chaos could make political violence worse outside of the U.S. https://t.co/EZBxaw9EsP",https://www.npr.org/2022/11/30/1139924914/twitters-chaos-could-make-political-violence-worse-outside-of-the-u-s?sc=18&f=1001
645,www.twitter.com/anyuser/status/1598177162548326400,Hakeem Jeffries’ likely elevation set to please US pro-Israel groups https://t.co/sUqYwn1gXX,https://www.theguardian.com/us-news/2022/nov/29/hakeem-jeffries-house-nancy-pelosi-israel?CMP=share_btn_tw
646,www.twitter.com/anyuser/status/1598177161701199872,"This was a conspiracy Theory. 🤦
#Musk https://t.co/9E2OHLJpWY",https://www.bloomberg.com/news/articles/2022-12-01/musk-s-neuralink-hopes-for-human-trials-approval-within-six-months?srnd=premium&sref=nPlhheXZ&leadSource=uverify%20wall
647,www.twitter.com/anyuser/status/1598177145138077697,"So the Supreme Court won't see or hear the evidence of clear &amp; massive election fraud in 2020.
But they will jump on the never Trump train. Wow! I'm telling you America. Even our Supreme Court has its compromised justices!
Citizen Grand Jury's Needed!
https://t.co/OqX3TvTgk6",https://www.foxnews.com/politics/house-ways-means-committee-democrats-obtain-trump-tax-returns-after-supreme-court-order
648,www.twitter.com/anyuser/status/1598177141786480640,"@DevilWearsMAGA @Jason_Millett @RyanAFournier Still! We're not a cult. Also, I never condemned myself and none of it was manufactured. Gullible and delusional. 

https://t.co/mkomrizDYH",https://www.foxnews.com/us/paul-pelosi-attack-grand-jury-indicts-david-depape-alleged-attack
649,www.twitter.com/anyuser/status/1598177119745757184,England’s water: the world’s piggy bank https://t.co/iZK3lpwk0e,https://www.theguardian.com/environment/ng-interactive/2022/nov/30/englands-water-the-worlds-piggy-bank?CMP=share_btn_tw
650,www.twitter.com/anyuser/status/1598177115119423488,"@BarbMcQuade @JoyceWhiteVance @KimberlyEAtkins @JillWineBanks @jackiejoens For those left on Twitter 
Twitter's chaos could make political violence worse outside of the U.S. https://t.co/EZBxawacin",https://www.npr.org/2022/11/30/1139924914/twitters-chaos-could-make-political-violence-worse-outside-of-the-u-s?sc=18&f=1001
651,www.twitter.com/anyuser/status/1598177114842341377,"It’s telling how much this focuses on silly perks rather than the cost and productivity deficits. Give people actual offices and they’re far more likely to want be in them…

https://t.co/GLQ13mdJkS

https://t.co/X25eSCArre",https://www.economist.com/the-world-ahead/2022/11/18/bosses-are-growing-more-desperate-to-get-workers-back-to-the-office
652,www.twitter.com/anyuser/status/1598177109356449792,"@bluevirginia Gas prices are still higher than they were before Biden took office. The most common price for a gallon of regular gas on the day Biden was inaugurated, January 20, 2021, was $2.39. 

https://t.co/5FTZxAflPI",https://www.cnn.com/2022/10/28/politics/fact-check-biden-gas-prices
653,www.twitter.com/anyuser/status/1598177107296899072,"#TrumpIsANationalSecurityRisk @MichaelBlairCo1 #ETTD #ArrestTrumpNow @ASchifty 

𝐃𝐎𝐍𝐀𝐋𝐃 #𝐓𝐑𝐔𝐌𝐏 𝐈𝐬 𝐏𝐮𝐫𝐞 𝐄𝐯𝐢𝐥 ‼️

📢 𝐋𝐎𝐂𝐊 𝐇𝐈𝐌 𝐔𝐏

https://t.co/tTvms0B2DI",https://www.salon.com/2019/09/24/philosopher-susan-neiman-says-trump-is-evil-and-she-literally-wrote-the-book/
654,www.twitter.com/anyuser/status/1598177098438361088,Indiana's AG wants the doctor who spoke of 10-year-old's abortion to be penalized https://t.co/6GEj9WgQ7R,https://www.npr.org/2022/11/30/1139950402/indianas-ag-wants-the-doctor-who-spoke-of-10-year-olds-abortion-to-be-penalized?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social
655,www.twitter.com/anyuser/status/1598177080600330240,China’s vice-premier signals shift in Covid stance as some lockdowns eased https://t.co/OmG9uA28Vq,https://www.theguardian.com/world/2022/dec/01/chinas-vice-premier-signals-shift-in-covid-stance-as-some-lockdowns-eased?CMP=twt_a-world_b-gdnworld
656,www.twitter.com/anyuser/status/1598177078050000897,Oh no! Very sad. ☹️☹️ #RIPChristine https://t.co/YnzVgaBdC5,https://www.cnn.com/2022/11/30/entertainment/christine-mcvie-obit/index.html
657,www.twitter.com/anyuser/status/1598177069275705344,'Putin's chef' says Russia is interfering in U.S. midterm elections https://t.co/6z51klYC8u,https://www.newsweek.com/putins-chef-prigozhin-interference-us-midterm-elections-1757452
658,www.twitter.com/anyuser/status/1598177054972792832,"@ERICSORENSEN China refuses our vaccines and makes their own. 

https://t.co/3HmVn0gmud

https://t.co/E7PhJw3fks

https://t.co/JTzAmNMzHp

This is why... 

https://t.co/OtuCjcGdna

https://t.co/SDzA85CjAp

https://t.co/O3D1tpREtD",https://www.npr.org/sections/coronavirus-live-updates/2020/12/31/952269135/china-approves-its-homegrown-covid-19-vaccine-for-widespread-use
659,www.twitter.com/anyuser/status/1598177030406737920,"@MatthewLind20 @RobSchneider Any actual documentation on these experiments reveals a much more sinister story, not some pharma fueled fairytale about them ""withholding treatment"". 
Notice the title of this article states, ""Too"", as in, ""also"". https://t.co/U3D5Bm7cCp",https://www.cbsnews.com/news/tuskegee-experiment-scientist-spread-syphilis-in-guatemala-too/
660,www.twitter.com/anyuser/status/1598177024912543744,https://t.co/VuKiejOdBm,https://www.politico.com/news/2022/11/30/minnesota-democrats-michigan-presidential-primary-00071551
661,www.twitter.com/anyuser/status/1598177022542766080,‘See you on the other side’: musicians pay tribute to Fleetwood Mac’s Christine McVie https://t.co/JFVLLlgqlp,https://www.theguardian.com/music/2022/dec/01/musicians-pay-tribute-to-christine-mcvie-fleetwood-mac?CMP=share_btn_tw
662,www.twitter.com/anyuser/status/1598177017253580800,"Biden's advisor, ""Hochstein said that ""eventually"" the country would be phasing out the use of oil"" https://t.co/nFBj3nYmmM",https://www.foxnews.com/media/biden-adviser-grilled-presidents-call-no-more-drilling-tell-him-stop-saying-that
663,www.twitter.com/anyuser/status/1598177011864072192,"Shaitan ki aant

The devil's colon

Discovered in the deep: is this the world’s longest animal?.
https://t.co/flthUo4r8S",https://www.theguardian.com/environment/2022/nov/30/discovered-in-the-deep-siphonophore-species-australia
664,www.twitter.com/anyuser/status/1598176993979371520,"Starbucks Illegally Refused to Negotiate With Union, US Labor Board Rules.
Note: Unanimous finding. Clear violations of law as well as good faith.  https://t.co/cKNMzuEVKF",https://www.bloomberg.com/news/articles/2022-11-30/starbucks-sbux-violated-labor-law-in-refusing-to-bargain-with-union-nlrb-says
665,www.twitter.com/anyuser/status/1598176990548283392,Musk's Neuralink hopes for approval to implant a computer in a human brain within six months https://t.co/j14I38x7Y2 via @technology,https://www.bloomberg.com/news/articles/2022-12-01/musk-s-neuralink-hopes-for-human-trials-approval-within-six-months
666,www.twitter.com/anyuser/status/1598176988921221120,Musk's Neuralink hopes for approval to implant a computer in a human brain within six months https://t.co/SGldu471JJ @technology @neuralink,https://www.bloomberg.com/news/articles/2022-12-01/musk-s-neuralink-hopes-for-human-trials-approval-within-six-months
667,www.twitter.com/anyuser/status/1598176984772751360,@chrsdcook @PJBworldview @EricaJSandberg https://t.co/oLCdjhBApa,https://www.sfchronicle.com/bayarea/article/San-Francisco-authorities-investigating-whether-a-17621718.php
668,www.twitter.com/anyuser/status/1598176970831192064,"@McFaul @milaniabbas @StanfordISP @FSIStanford @Stanford For those left on Twitter 
Twitter's chaos could make political violence worse outside of the U.S. https://t.co/EZBxawacin",https://www.npr.org/2022/11/30/1139924914/twitters-chaos-could-make-political-violence-worse-outside-of-the-u-s?sc=18&f=1001
669,www.twitter.com/anyuser/status/1598176956591509505,@tedcruz https://t.co/pQaGi8DEVb,https://www.bloomberg.com/news/articles/2022-11-10/apple-limits-iphone-file-sharing-tool-used-for-protests-in-china
670,www.twitter.com/anyuser/status/1598176936882311170,"Extinction activist wants humans to voluntarily die out: ‘Feed ‘em, don’t breed ‘em’

https://t.co/eJ8KKp8pey
You first",https://www.foxnews.com/media/extinction-activist-wants-humans-voluntarily-die-feed-em-breed-em
671,www.twitter.com/anyuser/status/1598176930507141120,"@Victorshi2020 @duty2warn For those left on Twitter 
Twitter's chaos could make political violence worse outside of the U.S. https://t.co/EZBxawacin",https://www.npr.org/2022/11/30/1139924914/twitters-chaos-could-make-political-violence-worse-outside-of-the-u-s?sc=18&f=1001
672,www.twitter.com/anyuser/status/1598176917727084544,Jeffrey Epstein estate reaches $105 million settlement with US Virgin Islands https://t.co/ZyhiiwH6eo https://t.co/7Ljw539e0v,http://dlvr.it/SdfKZD
673,www.twitter.com/anyuser/status/1598176907807592448,McCarthy demands January 6 committee preserve all records and vows to hold hearings next year https://t.co/Px7fBZ68a5 https://t.co/7J5lJiDkAC,http://dlvr.it/SdfKZC
674,www.twitter.com/anyuser/status/1598176900425269251,@tedcruz https://t.co/xyYNvxOIuT,https://www.cnn.com/2022/11/11/business/china-apple-airdrop-function-restricted-hnk-intl/index.html
675,www.twitter.com/anyuser/status/1598176898437505025,'River of blood': Foxconn employee describes violent protests in China https://t.co/Aeu9BAPnWS https://t.co/XZyew8Fik4,http://dlvr.it/SdfKZ7
676,www.twitter.com/anyuser/status/1598176897506377729,Plibersek’s ‘determination’ alone won’t save the Great Barrier Reef – here’s what needs to happen | Temperature Check https://t.co/XT200rw3oA,https://www.theguardian.com/environment/2022/dec/01/pliberseks-determination-alone-wont-save-the-great-barrier-reef-heres-what-needs-to-happen?CMP=share_btn_tw
677,www.twitter.com/anyuser/status/1598176889067405312,Mistrial declared after jurors deadlocked in Danny Masterson rape trial https://t.co/E9R4wYnP9v https://t.co/oWiXbiJdjE,http://dlvr.it/SdfKYv
678,www.twitter.com/anyuser/status/1598176879919628288,Hear the two vows Stewart Rhodes made to his lawyers before Oath Keepers trial https://t.co/IGL2tZ6aDB https://t.co/5TF3tgR676,http://dlvr.it/SdfKYS
679,www.twitter.com/anyuser/status/1598176868548870144,Crypto's golden boy says he 'didn't ever try to commit fraud' https://t.co/U6WkzZWmBF https://t.co/GaoSE0bfQH,http://dlvr.it/SdfKY8
680,www.twitter.com/anyuser/status/1598176859279462400,Student risks his and his family's lives to speak out against China's Covid restrictions https://t.co/f2WloH87RQ https://t.co/e9voWgaMV5,http://dlvr.it/SdfKXn
681,www.twitter.com/anyuser/status/1598176857094258688,Minnesota Dems ding Michigan as race for early-state presidential primary heats up https://t.co/xhlcM7vxeh,http://dlvr.it/SdfKXX
682,www.twitter.com/anyuser/status/1598176851683610624,"George Gascon’s policies ‘endanger residents of Los Angeles’: Jonathan Hatami

https://t.co/HThrK75nE9",https://video.foxnews.com/v/6312795808112
683,www.twitter.com/anyuser/status/1598176850303668224,Who is the wealthiest person at Art Basel? This ATM machine is displaying users' bank balances for all to see https://t.co/leJPfMn4Dj https://t.co/2Jfyy3SlC3,http://dlvr.it/SdfKVy
684,www.twitter.com/anyuser/status/1598176845454749696,https://t.co/T2KLJfVPG4,https://www.bloomberg.com/news/articles/2022-12-01/musk-s-neuralink-hopes-for-human-trials-approval-within-six-months?srnd=premium&sref=nPlhheXZ
685,www.twitter.com/anyuser/status/1598176844783575041,Rep. Mike Gallagher: TikTok is like 'digital fentanyl' for users |  https://t.co/tjqXe7HRlr,https://video.foxnews.com/v/6316338412112
686,www.twitter.com/anyuser/status/1598176841084567552,Joe Pesci says playing Harry in the 'Home Alone' films came with some 'serious' pain https://t.co/3asl6tUrAf https://t.co/ZtWp9cTtKm,http://dlvr.it/SdfKTx
687,www.twitter.com/anyuser/status/1598176839432015872,The big idea: how keeping warm wards off loneliness https://t.co/1Uvh6m9j0M,https://www.theguardian.com/books/2022/nov/28/the-big-idea-how-keeping-warm-wards-off-loneliness?CMP=Share_iOSApp_Other
688,www.twitter.com/anyuser/status/1598176831739682817,Late night celebrates US World Cup win https://t.co/ovoXTUb16p https://t.co/7glUsQYfaa,http://dlvr.it/SdfKSg
689,www.twitter.com/anyuser/status/1598176830267314176,NYC mayor plans to involuntarily hospitalize more mentally ill people https://t.co/33m7wVZZvZ,https://www.cbsnews.com/news/new-york-city-mental-illness-involuntary-hospital-admissions-eric-adams-announcement-today-2022-11-29/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wmbf
690,www.twitter.com/anyuser/status/1598176792120115200,"It’s just a first step, but this new Alzheimer’s drug could be a huge breakthrough https://t.co/whjZ2VcAPy",https://www.theguardian.com/commentisfree/2022/nov/30/alzheimers-drug-lecanemab-trials-nhs?CMP=Share_iOSApp_Other
691,www.twitter.com/anyuser/status/1598176759614246912,"Pakistan v England: first men’s cricket Test, day one – live https://t.co/30RakKvP3X",https://www.theguardian.com/sport/live/2022/dec/01/pakistan-v-england-first-mens-cricket-test-day-one-live?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1669869522
692,www.twitter.com/anyuser/status/1598176759265968128,"@SenTedCruz Pres DID NOT fire anyone. Commanders did based on needs of their units. President DOES NOT have the authority to ""fire someone for not taking the vaccine."" But Trump fired Navy Capt Crozier for asking for help for his troops w/COVID. You still mad at Elmo? https://t.co/60ijh1sDKX",http://bit.ly/3H1Z1eS
693,www.twitter.com/anyuser/status/1598176739800268800,"From the Amazon to Australia, why is your money funding Earth’s destruction? https://t.co/qKyvL9OHjh",https://www.theguardian.com/commentisfree/2022/nov/30/amazon-public-money-earth-destruction-fossil-fuels-subsidies?CMP=Share_iOSApp_Other
694,www.twitter.com/anyuser/status/1598176715435638784,Scientists simulate ‘baby’ wormhole without rupturing space and time https://t.co/oM06ixLSjq,https://www.theguardian.com/science/2022/dec/01/scientists-simulate-baby-wormhole-without-rupturing-space-and-time?CMP=Share_iOSApp_Other
695,www.twitter.com/anyuser/status/1598176711543115776,"https://t.co/81gqv8fBfr

Enough said",https://www.theguardian.com/film/2022/nov/30/cocaine-bear-trailer-2023-wildest-film-everything-and-more
696,www.twitter.com/anyuser/status/1598176695399645184,Three COVID-19 questions Dr. Fauci needs to answer https://t.co/CSyO1q4Xp1 #FoxNews,https://www.foxnews.com/opinion/three-covid-19-questions-dr-fauci-answer
697,www.twitter.com/anyuser/status/1598176685605548032,Sorry to these marine biologists but the world’s longest animals are my cats when they stretch after a nap. https://t.co/oP9TQvbQMO,https://www.theguardian.com/environment/2022/nov/30/discovered-in-the-deep-siphonophore-species-australia
698,www.twitter.com/anyuser/status/1598176656858152960,"Twitter must comply with Europe’s platform rules, EU digital chief warns Musk in virtual meeting
https://t.co/NNoYscpYIq",https://www.cnn.com/2022/11/30/tech/twitter-eu-compliance-warning/index.html
699,www.twitter.com/anyuser/status/1598176646032654337,https://t.co/V3cljjOiQn,https://www.cnn.com/2022/11/30/entertainment/christine-mcvie-obit/index.html
700,www.twitter.com/anyuser/status/1598176642404614146,Herschel Walker wants to strip disenchanted Americans of citizenship https://t.co/qGr7FYzSLZ,https://www.newsweek.com/herschel-walker-wants-strip-americans-who-move-abroad-citizenship-1762874
701,www.twitter.com/anyuser/status/1598176641485885440,"Ukraine's President Zelenskiy invited Elon Musk to visit the war-ravaged nation and see for himself the damage wrought by Russia, after the world’s richest man floated the idea of a peace deal https://t.co/n4DrdmWJEs https://t.co/FXJT3pgFEq @Quicktake",https://trib.al/VZflOAE
702,www.twitter.com/anyuser/status/1598176637995995137,Can Tokyo’s charms be replicated elsewhere? https://t.co/bPNaoqqfi4 @TheEconomist,https://econ.st/3UlJmtN
703,www.twitter.com/anyuser/status/1598176630333407234,https://t.co/sQ2BZ8f3Wl  Musk’s Neuralink Hopes to Implant Computer in Human Brain in Six Months. The startup awaits implant approval while already working on curing paralysis (Bloomberg),https://www.bloomberg.com/news/articles/2022-12-01/musk-s-neuralink-hopes-for-human-trials-approval-within-six-months?srnd=premium&sref=nPlhheXZ&leadSource=uverify%20wall
704,www.twitter.com/anyuser/status/1598176618350252032,CNN begins layoffs under Chris Licht: 'Difficult time for everyone' https://t.co/F1ur7rZSSI #FoxNews,https://www.foxnews.com/media/cnn-begins-layoffs-under-chris-licht-difficult-time-everyone
705,www.twitter.com/anyuser/status/1598176581603696640,"This unusual looking new watch from Audemars Piguet looks radical, but the technology actually dates back to the 17th century https://t.co/Wfi0RfolJa",https://trib.al/Fd4fY6c
706,www.twitter.com/anyuser/status/1598176578428698627,"Now it's just Fleetwood 💔
https://t.co/cFow0tisOc",https://www.theguardian.com/music/2022/nov/30/fleetwood-macs-christine-mcvie-dies-at-age-79?CMP=Share_AndroidApp_Other
707,www.twitter.com/anyuser/status/1598176550146695169,"5 Republicans in Congress refused to cooperate with Jan 6th Committee subpoenas - including House Minority Leader Kevin McCarthy (CA) + Rep. Jim Jordan (OH) - are going to learn fuck around and find out has consequences! ⚖️👨‍⚖️

https://t.co/KWzqb4aOZ0",https://www.cnn.com/2022/11/30/politics/criminal-referrals-january-6-committee/index.html
708,www.twitter.com/anyuser/status/1598176516479004674,"What a jokester!
Biden appears to declare himself the greatest president in US history

https://t.co/MwtLUj7sGK",https://www.foxnews.com/politics/biden-appears-declare-himself-greatest-president-us-history
709,www.twitter.com/anyuser/status/1598176507926831104,Not good. The article suggests a globally recognised certificate of origin scheme as solution and a few examples already implemented https://t.co/EfcUd6XwsQ,https://www.theguardian.com/environment/2022/nov/29/evidence-grows-of-forced-labour-and-slavery-in-production-of-solar-panels-wind-turbines
710,www.twitter.com/anyuser/status/1598176494551183360,"Biden administration prepares to end monkeypox emergency declaration

https://t.co/vpvBf7Qa9E",https://www.politico.com/news/2022/11/30/biden-ends-monkeypox-emergency-declaration-00071491
711,www.twitter.com/anyuser/status/1598176485315059717,Six Years Late!! https://t.co/8bXLMphSgH,https://www.cnn.com/2022/11/30/politics/house-ways-and-means-committee-now-has-donald-trumps-federal-tax-returns/index.html
712,www.twitter.com/anyuser/status/1598176482186383360,Biden appears to declare himself the greatest president in US history https://t.co/LuMZ3Xwztk #FoxNews,https://www.foxnews.com/politics/biden-appears-declare-himself-greatest-president-us-history
713,www.twitter.com/anyuser/status/1598176462775156736,Crikey lawyers call on Lachlan Murdoch to provide evidence he repudiated Fox News falsehoods https://t.co/jzc4L7mYVc,https://www.theguardian.com/media/2022/dec/01/crikey-lawyers-call-on-lachlan-murdoch-to-provide-evidence-he-repudiated-fox-news-falsehoods?CMP=share_btn_tw
714,www.twitter.com/anyuser/status/1598176462552502274,@Fresnokyle @dlrising @AdamParkhomenko https://t.co/a8d5CbEyEX,https://www.foxnews.com/politics/south-dakota-gop-state-senate-hopeful-charged-child-abuse-after-allegedly-grooming-raping-family-member
715,www.twitter.com/anyuser/status/1598176446794432512,"We must never forget his public statement. ""Stand dow oath keepers"". That is a mafia Don's that nstruction https://t.co/Wg37ubOf95",https://www.cnn.com/2022/11/30/politics/oath-keepers-verdict-justice-department-trump/index.html
716,www.twitter.com/anyuser/status/1598176423197278209,"The Dolphins’ top two running backs Sunday at Levi’s Stadium will be ex-49ers. 

And the #49ers’ top two running backs will be … spectators? 

https://t.co/VLlK2ojcXf https://t.co/j4W6clFMgp",https://www.sfchronicle.com/sports/49ers/article/With-Christian-McCaffrey-iffy-for-49ers-17622415.php?utm_campaign=CMS%20Sharing%20Tools%20(Premium)&utm_source=t.co&utm_medium=referral
717,www.twitter.com/anyuser/status/1598176397658591234,https://t.co/fWwsCoknt8,https://www.foxnews.com/opinion/republicans-win-2024-voters-understand
718,www.twitter.com/anyuser/status/1598176393119993856,"‘Tangled mess of inaction’: hundreds of threatened species recovery plans expiring in next six months | Lisa Cox

https://t.co/B0gSKArpDK",https://www.theguardian.com/environment/2022/nov/27/tangled-mess-of-inaction-hundreds-of-threatened-species-recovery-plans-expiring-in-next-six-months
719,www.twitter.com/anyuser/status/1598176370122985472,Wht do you think? https://t.co/1rGYUJ2AEt,https://lnkd.in/gB5QP2UM
720,www.twitter.com/anyuser/status/1598176369149706240,Always with these Conspiracy Theory Republicans. Accusing Others of Crimes They are Guilty. Worker pleads guilty in Colorado election equipment tampering case - CBS News https://t.co/XlZSjof7Bh,https://www.cbsnews.com/news/worker-plea-deal-colorado-election-machine-tampering-case-sandra-brown-tina-peters/
721,www.twitter.com/anyuser/status/1598176346668404736,"Users celebrate Elon Musk revealing Twitter 'interfered in elections:' ‘New Twitter rocks’

https://t.co/V27jaHhK5N",https://www.foxnews.com/media/users-celebrate-elon-musk-revealing-twitter-interfered-elections-new-twitter-rocks
